video_path,label,subject
Celeb-synthesis/id20_id3_0006.mp4,fake,id20
Celeb-synthesis/id24_id27_0009.mp4,fake,id24
Celeb-synthesis/id21_id26_0002.mp4,fake,id21
Celeb-synthesis/id10_id13_0003.mp4,fake,id10
Celeb-synthesis/id32_id33_0008.mp4,fake,id32
Celeb-synthesis/id21_id27_0005.mp4,fake,id21
Celeb-synthesis/id49_id54_0004.mp4,fake,id49
YouTube-real/00190.mp4,real,hash_6ae154649b
Celeb-synthesis/id16_id0_0003.mp4,fake,id16
Celeb-real/id1_0007.mp4,real,id1
Celeb-synthesis/id21_id20_0008.mp4,fake,id21
Celeb-synthesis/id29_id34_0005.mp4,fake,id29
Celeb-synthesis/id17_id9_0009.mp4,fake,id17
Celeb-synthesis/id57_id52_0004.mp4,fake,id57
Celeb-synthesis/id21_id20_0006.mp4,fake,id21
Celeb-synthesis/id2_id6_0001.mp4,fake,id2
Celeb-synthesis/id34_id31_0007.mp4,fake,id34
Celeb-synthesis/id16_id37_0001.mp4,fake,id16
Celeb-synthesis/id60_id59_0007.mp4,fake,id60
Celeb-synthesis/id53_id52_0007.mp4,fake,id53
Celeb-synthesis/id1_id17_0009.mp4,fake,id1
Celeb-synthesis/id32_id21_0000.mp4,fake,id32
Celeb-synthesis/id55_id57_0007.mp4,fake,id55
Celeb-real/id1_0005.mp4,real,id1
Celeb-synthesis/id26_id17_0003.mp4,fake,id26
Celeb-synthesis/id31_id38_0000.mp4,fake,id31
Celeb-real/id12_0001.mp4,real,id12
Celeb-synthesis/id2_id20_0005.mp4,fake,id2
Celeb-real/id3_0001.mp4,real,id3
Celeb-synthesis/id51_id54_0006.mp4,fake,id51
Celeb-synthesis/id19_id26_0007.mp4,fake,id19
Celeb-synthesis/id33_id21_0002.mp4,fake,id33
Celeb-synthesis/id24_id28_0000.mp4,fake,id24
Celeb-synthesis/id37_id21_0009.mp4,fake,id37
Celeb-synthesis/id35_id33_0006.mp4,fake,id35
YouTube-real/00246.mp4,real,hash_4a85bfa804
Celeb-real/id49_0001.mp4,real,id49
Celeb-synthesis/id0_id6_0000.mp4,fake,id0
Celeb-synthesis/id28_id17_0000.mp4,fake,id28
Celeb-real/id61_0003.mp4,real,id61
Celeb-synthesis/id17_id3_0005.mp4,fake,id17
Celeb-real/id46_0001.mp4,real,id46
Celeb-synthesis/id49_id53_0008.mp4,fake,id49
Celeb-synthesis/id13_id7_0009.mp4,fake,id13
Celeb-synthesis/id53_id50_0006.mp4,fake,id53
YouTube-real/00298.mp4,real,hash_5b1b6ecac8
Celeb-synthesis/id24_id25_0005.mp4,fake,id24
Celeb-synthesis/id16_id20_0009.mp4,fake,id16
Celeb-synthesis/id35_id26_0001.mp4,fake,id35
Celeb-synthesis/id35_id21_0001.mp4,fake,id35
Celeb-synthesis/id48_id44_0003.mp4,fake,id48
Celeb-synthesis/id3_id0_0000.mp4,fake,id3
Celeb-synthesis/id43_id48_0001.mp4,fake,id43
Celeb-synthesis/id37_id38_0003.mp4,fake,id37
Celeb-synthesis/id23_id30_0000.mp4,fake,id23
Celeb-synthesis/id58_id57_0008.mp4,fake,id58
Celeb-synthesis/id26_id22_0009.mp4,fake,id26
YouTube-real/00040.mp4,real,hash_868ed390f4
Celeb-synthesis/id23_id26_0006.mp4,fake,id23
Celeb-synthesis/id3_id9_0003.mp4,fake,id3
Celeb-synthesis/id26_id25_0006.mp4,fake,id26
Celeb-real/id32_0009.mp4,real,id32
Celeb-synthesis/id31_id28_0006.mp4,fake,id31
Celeb-synthesis/id34_id29_0003.mp4,fake,id34
Celeb-synthesis/id37_id1_0001.mp4,fake,id37
Celeb-real/id59_0006.mp4,real,id59
Celeb-real/id31_0006.mp4,real,id31
Celeb-real/id25_0000.mp4,real,id25
Celeb-synthesis/id31_id34_0000.mp4,fake,id31
Celeb-synthesis/id32_id34_0004.mp4,fake,id32
Celeb-synthesis/id30_id23_0004.mp4,fake,id30
Celeb-synthesis/id30_id2_0008.mp4,fake,id30
Celeb-synthesis/id26_id27_0008.mp4,fake,id26
Celeb-synthesis/id26_id31_0001.mp4,fake,id26
Celeb-synthesis/id57_id56_0008.mp4,fake,id57
Celeb-synthesis/id1_id30_0007.mp4,fake,id1
Celeb-synthesis/id57_id53_0004.mp4,fake,id57
Celeb-synthesis/id46_id45_0002.mp4,fake,id46
Celeb-synthesis/id6_id35_0009.mp4,fake,id6
Celeb-synthesis/id48_id39_0002.mp4,fake,id48
Celeb-synthesis/id16_id2_0012.mp4,fake,id16
Celeb-synthesis/id30_id16_0006.mp4,fake,id30
Celeb-synthesis/id23_id16_0004.mp4,fake,id23
Celeb-synthesis/id23_id17_0009.mp4,fake,id23
Celeb-synthesis/id30_id4_0002.mp4,fake,id30
Celeb-synthesis/id3_id26_0004.mp4,fake,id3
Celeb-synthesis/id28_id6_0000.mp4,fake,id28
Celeb-synthesis/id54_id49_0000.mp4,fake,id54
Celeb-synthesis/id28_id6_0001.mp4,fake,id28
Celeb-synthesis/id28_id38_0008.mp4,fake,id28
Celeb-synthesis/id16_id35_0009.mp4,fake,id16
Celeb-synthesis/id1_id20_0007.mp4,fake,id1
Celeb-synthesis/id20_id2_0000.mp4,fake,id20
Celeb-synthesis/id31_id17_0005.mp4,fake,id31
Celeb-synthesis/id37_id1_0003.mp4,fake,id37
Celeb-real/id31_0004.mp4,real,id31
Celeb-synthesis/id26_id16_0003.mp4,fake,id26
Celeb-real/id12_0005.mp4,real,id12
Celeb-real/id44_0004.mp4,real,id44
Celeb-synthesis/id0_id28_0004.mp4,fake,id0
YouTube-real/00012.mp4,real,hash_e6e83e3186
Celeb-synthesis/id21_id20_0000.mp4,fake,id21
Celeb-synthesis/id23_id20_0000.mp4,fake,id23
Celeb-synthesis/id30_id3_0008.mp4,fake,id30
Celeb-synthesis/id17_id28_0006.mp4,fake,id17
YouTube-real/00214.mp4,real,hash_252fc6f323
Celeb-synthesis/id13_id10_0014.mp4,fake,id13
Celeb-synthesis/id20_id2_0007.mp4,fake,id20
Celeb-synthesis/id16_id21_0006.mp4,fake,id16
Celeb-synthesis/id21_id22_0006.mp4,fake,id21
Celeb-synthesis/id30_id16_0008.mp4,fake,id30
Celeb-synthesis/id52_id54_0005.mp4,fake,id52
Celeb-real/id40_0005.mp4,real,id40
Celeb-synthesis/id7_id11_0006.mp4,fake,id7
Celeb-synthesis/id8_id6_0008.mp4,fake,id8
Celeb-synthesis/id21_id4_0006.mp4,fake,id21
Celeb-synthesis/id17_id0_0002.mp4,fake,id17
Celeb-synthesis/id21_id23_0007.mp4,fake,id21
Celeb-synthesis/id1_id26_0005.mp4,fake,id1
Celeb-synthesis/id38_id29_0006.mp4,fake,id38
Celeb-synthesis/id5_id60_0003.mp4,fake,id5
Celeb-synthesis/id7_id10_0007.mp4,fake,id7
Celeb-synthesis/id27_id25_0006.mp4,fake,id27
Celeb-synthesis/id28_id30_0008.mp4,fake,id28
Celeb-synthesis/id29_id33_0000.mp4,fake,id29
Celeb-synthesis/id32_id37_0004.mp4,fake,id32
Celeb-synthesis/id50_id49_0002.mp4,fake,id50
